SMILE	Compound_IDs	Class
CCCC1=NC2=CC=C(CN3CCN(C4=CC=C(C(=O)NC)N=C4)CC3)C=C2NC1=O	553955	1
CCCC1=NC2=CC=C(CN3CCN(C4=CC=C(C(=O)NC)N=C4Cl)CC3)C=C2NC1=O	553956	1
CCCC1=NC2=CC=C(CN3CCN(C4=CC=C(C(=O)NC)N=C4F)CC3)C=C2NC1=O	553957	1
CCCC1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	423399	0
CCCC1NCCC2=C1SC(C1=NC3=C(C(N)=O)C=C(F)C=C3N1)=C2	CHEMBL4285923, 50464920	1
CCCCC(=O)NCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL395610, 50197590	1
CCCCC1=CC=C2N=C3C=CC=CC3=C(NC3=CC=C(C4=NC5=C(C(N)=O)C=CC=C5N4)C=C3)C2=C1	CHEMBL4163950, 50276926	0
CCCCC1=CC=C2N=C3C=CC=CC3=C(NC3=CC=CC(C4=NC5=C(C(N)=O)C=CC=C5N4)=C3)C2=C1	CHEMBL4166888, 50276932	0
CCCCC1=NC(=O)C2=CC=CC=C2N1	CHEMBL2377256, 50433099	0
CCCCC1NCCC2=C1SC(C1=NC3=C(C(N)=O)C=C(F)C=C3N1)=C2	CHEMBL4293136, 50464919	0
CCCCCC1=CC2=C(N)C=CC=C2C(=O)N1	CHEMBL2414049, 50438608	0
CCCCCCN1CCN(C(=O)C2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	CHEMBL2237219, 50486652	1
CCCCCN1CCC(OC2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	50314483, CHEMBL1091454	1
CCCCCN1CCN(C(=O)C2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	CHEMBL2237222, 50486653	1
CCCCN(CC1=CC=CC=C1)C(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214356, CHEMBL3949339	0
CCCCN1CC2=NC3=CC(F)=CC4=C3C2=C(C1)NNC4=O	CHEMBL3905389, 207614	1
CCCCN1CCC(C2=NC3=CN=CC4=C3N2CCNC4=O)CC1	50535022, CHEMBL4454541	1
CCCCN1CCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL589574, 50309381	1
CCCCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC(F)=C2F)CC1	CHEMBL4172321, 50276694	1
CCCCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL493693, 27562	1
CCCCN1CCN(C(=O)C2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	CHEMBL2237224, 50486654	1
CCCCNCC1=CC=C(C2=C3C(=O)NNC(=O)C4=C3C(=CC(F)=C4)N2)C=C1	CHEMBL3617774, 50120396	1
CCCCNCC1=CC=C(C2=C3C(=O)NNC(=O)C4=C3C(=CC=C4)N2)C=C1	CHEMBL3617771, 50120399	0
CCCCNCC1=CC=C(C2=CC3=C4C(=CNC4=C2)C(=O)NNC3=O)C=C1	CHEMBL3617778, 50120393	1
CCCCOC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3898013, 214128	0
CCCN(C)CC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130138, CHEMBL3649761	0
CCCN(CCC)[C@@H](C)C(=O)NC1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214096, CHEMBL3930116	0
CCCN1CC(C2=NC3=C(C(N)=O)C=CC=C3N2)C1	27104, CHEMBL452785	1
CCCN1CC2=CC=CC(C(N)=O)=C2C1=O	CHEMBL1329044, 50110823	1
CCCN1CC2=NC3=CC(F)=CC4=C3C2=C(C1)NNC4=O	CHEMBL3917078, 207612	1
CCCN1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	CHEMBL3930740, 207611	1
CCCN1CCC(C2=NC3=C(C(N)=O)C(F)=CC=C3N2)CC1	50534405, CHEMBL4530032	1
CCCN1CCC(C2=NC3=C(C(N)=O)C=CC=C3N2)C1	27110, CHEMBL500298	1
CCCN1CCC(C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	27119, CHEMBL452800	1
CCCN1CCC(C2=NC3=C(C(N)=O)C=CC=C3N2C)CC1	27133, CHEMBL513621	1
CCCN1CCC(C2=NC3=C(C(N)=O)C=NC=C3N2)CC1	50432331, CHEMBL2347906	0
CCCN1CCC(C2=NC3=CN=CC4=C3N2CCNC4=O)CC1	50535024, CHEMBL4590570	1
CCCN1CCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	50248769, CHEMBL4067089	1
CCCN1CCC(OC2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	50314482, CHEMBL1094039	1
CCCN1CCC(OC2=CC=C3NC(=O)C4=C(NCCC4)C3=C2)CC1	130093, CHEMBL3649716	0
CCCN1CCCC(C2=NC3=C(C(N)=O)C=NC=C3N2)C1	50432328, CHEMBL2347910	0
CCCN1CCCC(OC2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)C1	50314495, CHEMBL1092778	1
CCCN1CCCCC1(C)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL445016, 27143	1
CCCN1CCCCC1C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL509153, 27144	1
CCCN1CCCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL204809, 50177458	1
CCCN1CCCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=CC=CC=C34)=C2)CC1	CHEMBL379251, 50177451	1
CCCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL493692, 27561	1
CCCN1CCN(C(=O)C2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	CHEMBL2237225, 50486647	1
CCCNC(=O)NC1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214444, CHEMBL3961542	0
CCCNC(=O)NC1=CC=C2C(=C1)CC1=C2NC(=O)C2=CC=CC=C12	27524, CHEMBL371819	1
CCCNC(=O)NC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	50165475, CHEMBL196883	0
CCCNC(C)(C)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL479778, 50251619	1
CCCNC(C)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL480198, 50251545	1
CCCNC1CCN(C(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)C1	CHEMBL4070559, 50248727	1
CCCNCC1=CC=C(C2=C3C(=O)NNC(=O)C4=C3C(=CC(F)=C4)N2)C=C1	CHEMBL3617773, 50120397	1
CCCNCC1=CC=C(C2=C3C(=O)NNC(=O)C4=C3C(=CC=C4)N2)C=C1	CHEMBL3617769, 50120392	1
CCCNCC1=CC=C(C2=CC3=C4C(=CNC4=C2)C(=O)NNC3=O)C=C1	CHEMBL3617776, 50120395	0
CCCNCC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130128, CHEMBL3649751	0
CCCOC1=CC(CN(C)C)=CC2=C1C1=C(CCCN1)C(=O)N2	130191, CHEMBL3649811	1
CCCOC1=CC(CN)=CC2=C1C1=C(CCCN1)C(=O)N2	130195, CHEMBL3653089	0
CCCOC1=CC(CN2CCOCC2)=CC2=C1C1=C(CCCN1)C(=O)N2	130192, CHEMBL3649812	0
CCCOC1=CC=C(C(=O)C2CCN(CC(=O)NCC3=NC(=O)C4=C(CCOC4)N3)CC2)C=C1	CHEMBL3906833, 191215	0
CCCOC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3986547, 214172	0
CCCOC1=CC=C(NC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	214292, CHEMBL3910369	1
CCCP1(O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CCNCC1	538084	1
CCN(C(C)=O)C1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)C1	CHEMBL3911509, 214507	1
CCN(C(C)=O)C1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)C1	CHEMBL3897004, 214489	1
CCN(C)C(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C=C1F	419741	1
CCN(C)CC1=CC(OC)=C2C3=C(CCCN3)C(=O)NC2=C1	130158, CHEMBL3649779	1
CCN(C)CC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130129, CHEMBL3649752	1
CCN(C)CC1=CC=C2C3=C(CCCN3C)C(=O)NC2=C1	130153, CHEMBL3649774	0
CCN(CC(=O)CC1=C(F)C=CC=C1F)C(=O)CC1=NNC(=O)C2=CC=CC=C12	CHEMBL3105427, 50445833	0
CCN(CC)C(=O)/C=C\C(=O)NC1=CC=CC(C(N)=O)=C1	CHEMBL3414774, 50079621	0
CCN(CC)C(=O)C1=CC=CC=C1C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	213980, CHEMBL3965068	0
CCN(CC)C(=O)C1CCCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)C1	CHEMBL3935109, 213935	1
CCN(CC)C(=O)C1CCCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C1	CHEMBL3941297, 213934	1
CCN(CC)C(=O)CCC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50360932, CHEMBL1935263	1
CCN(CC)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)CC1	CHEMBL3948164, 214436	1
CCN(CC)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3926924, 214457	1
CCN(CC)C(C)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL444957, 50251550	1
CCN(CC)C1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3936448, 214127	0
CCN(CC)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(F)=C1	419717	1
CCN(CC)C1CCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL590561, 50309352	1
CCN(CC)CC(=O)C1=CC=C2NC3=C4CCCC4=C4C(=O)NC(=O)C4=C3C2=C1	50360921, CHEMBL1935252	1
CCN(CC)CC1=CC(OC)=C2C3=C(CCCN3)C(=O)NC2=C1	130168, CHEMBL3649789	0
CCN(CC)CC1=CC=C(C(=O)N2CCC3=CC=CC4=C3C2CNC4=O)C=C1	CHEMBL592909, 50306241	1
CCN(CC)CC1=CC=C(C2=NN3C(C(N)=O)=CC(Cl)=C3C=C2)C=C1	CHEMBL4745626, 50549282	0
CCN(CC)CC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130124, CHEMBL3649747	0
CCN(CC)CC1=CC=C2C3=C(CCCN3C)C(=O)NC2=C1	130150, CHEMBL3649771	0
CCN(CC)CCC1=CNC2=CC=C3C(=O)NCCC3=C12	50296548, CHEMBL564183	0
CCN(CC)CCN(C)C(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214353, CHEMBL3974858	1
CCN(CC)CCN(C)CC1=CC=C2OC3=C4C(=NNC(=O)C4=CC=C3)C2=C1	CHEMBL3644772, 97562	1
CCN(CC)CCN(CC)CC1=CC=C2OC3=C4C(=NNC(=O)C4=CC=C3)C2=C1	CHEMBL3644771, 97561	0
CCN(CC)CCN1C2=C3C(=NNC(=O)C4=C3C1=CC=C4)CC(C)(C)C2	207588, CHEMBL3926240	1
CCN(CC)CCN1C2=C3C(=NNC(=O)C4=C3C1=CC=C4)CCC2	207593, CHEMBL3983247	1
CCN(CC)CCN1CCC(C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	27129, CHEMBL460060	1
CCN(CC)CCNC1=CC=C2NC(=O)C3=CC=CC=C3C2=N1	50130589, CHEMBL108106	0
CCN(CC)CCOC1=CC=C2NC(=O)C3=C(NCCC3)C2=C1	130108, CHEMBL3649731	0
CCN(CC1=CC=CC=C1)C(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214354, CHEMBL3894049	1
CCN(CCN(C)C)C(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214352, CHEMBL3954051	1
CCN(CCN)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214594, CHEMBL3941603	1
CCN(CCNC(=O)C1=C(F)C=CC=C1F)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214631, CHEMBL3922304	1
CCN(CCNC(=O)C1=CC=CC=C1)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214614, CHEMBL3913570	1
CCN(CCNC(=O)C1=CC=CN=C1)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214632, CHEMBL3944750	1
CCN(CCNC(=O)C1CC1)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214630, CHEMBL3953479	1
CCN(CCNC(=O)N1CCCC1)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214615, CHEMBL3983389	1
CCN(CCNC(=O)OC(C)(C)C)C(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214586, CHEMBL3900192	1
CCN(CCO)CC1=CC=C2OC3=C4C(=NNC(=O)C4=CC=C3)C2=C1	CHEMBL3644773, 97564	1
CCN1C(C2=CC3=C(CNCC3)S2)=NC2=C(C(N)=O)C=C(F)C=C21	CHEMBL4281379, 50464937	0
CCN1CC2=NC3=CC(F)=CC4=C3C2=C(C1)NNC4=O	CHEMBL3908123, 207613	1
CCN1CCC(C2=NN(C)C3=C2C2=CC=CC=C2C(=O)N3)CC1	50322366, CHEMBL1171297	1
CCN1CCC(N2CC3=CC=CC(C(N)=O)=C3C2=O)CC1	50110837	1
CCN1CCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	50248805, CHEMBL4073559	1
CCN1CCC(OC2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)C1	50314497, CHEMBL1089713	1
CCN1CCC2=C(C=C(C3=NC4=C(C(N)=O)C=CC=C4N3)S2)C1	CHEMBL4278820, 50464923	1
CCN1CCCC(OC2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)C1	50314494, CHEMBL1092777	1
CCN1CCCC12CCN(C(=O)C1=CC(CC3=NNC(=O)C(C)=C3C)=CC=C1F)CC2	50309225, CHEMBL598357	1
CCN1CCCC2CN(C(=O)C3=CC(CC4=NNC(=O)C5=CC=CC=C45)=CC=C3F)CC21	CHEMBL4579526, 50513901	1
CCN1CCCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL426116, 50177462	1
CCN1CCCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=CC=CC=C34)=C2)CC1	CHEMBL381821, 50177442	1
CCN1CCN(C(=O)C2=C(C)C3=C(S2)C2=CC=CC=C2C(=O)N3)CC1	CHEMBL3291331, 50018700	1
CCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)CC1	CHEMBL3927211, 213915	1
CCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC(F)=C2F)CC1	CHEMBL4161687, 50276742	1
CCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	CHEMBL492692, 27560	1
CCN1CCN(C(=O)C2=CC=C3NC(=O)C4=C(CCSC4)C3=C2)CC1	CHEMBL2237226, 50486655	1
CCN1CCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)CC1	CHEMBL3920261, 213914	1
CCN1CCN2C(=NC3=CC=CC4=C3C2=NNC4=O)C1	293921	1
CCN1CCP(=O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538079	1
CCNC(=O)C1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=N1	214014, CHEMBL3942243	1
CCNC(=O)C1=CC(CC2=NNC(=O)C3=C2NCCC3)=CC=C1F	50387947, CHEMBL2058690	1
CCNC(=O)C1=CC(F)=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(F)=C1	419746	1
CCNC(=O)C1=CC=C(CC2=NNC(=O)C3=C2CCCC3)C=N1	214033, CHEMBL3913157	0
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(C)=C1	419699	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(Cl)=C1	419695	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C=C1	419692	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C=C1F	419694	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)N=C1	419681	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4OC(C)C(=O)NC4=C3)CC2)C(C)=C1	50438237, CHEMBL2407984	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4OC(C)C(=O)NC4=C3)CC2)C(Cl)=C1	50438260, CHEMBL2407981	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC(C)=C4OC(C)C(=O)NC4=C3)CC2)C=C1	CHEMBL2407975, 50438239	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC4=C(OC(C)C(=O)N4)C(OC)=C3)CC2)C(C)=C1	50438234, CHEMBL2407987	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC4=C(OC(C)C(=O)N4)C(OC)=C3)CC2)C=C1	CHEMBL2407978, 50438263	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC4=C(OC(C)C(=O)N4)C(OCC)=C3)CC2)C(C)=C1	50438231, CHEMBL2407969	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(Br)=C1	419736	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(C)=C1	419726	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(Cl)=C1	419733	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C(F)=C1	419729	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C=C1Cl	419743	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)C=C1F	419739	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)N=C1	419758	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4OC(C)C(=O)NC4=C3)CC2)C(Cl)=C1	50438241, CHEMBL2407973	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CC=C4OC(C)C(=O)NC4=C3)CC2)C=C1	CHEMBL2407972, 50438242	1
CCNC(=O)C1=CC=C(N2CCN(CC3=CN=C4C=C(CC)C(=O)NC4=C3)CC2)C=N1	553969	1
CCNC(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=N1	214020, CHEMBL3979770	0
CCNC(=O)C1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	CHEMBL381208, 50165483	1
CCNC(=O)C1=CN=C(N2CCN(C3=NC4=C(C(N)=O)C=C(F)C=C4N3)CC2)C=N1	332736	1
CCNC(=O)C1=CSC(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)=N1	419762	1
CCNC(=O)C1=NC=C(N2CCN(C3=NC4=C(C(N)=O)C=C(F)C=C4N3)CC2)C=N1	332750	1
CCNC(=O)C1=NC=CC=C1CC1=NNC(=O)C2=C1CCCC2	214035, CHEMBL3890246	0
CCNC(=O)NC(C)(C)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL445012, 50251656	0
CCNC(=O)NCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL245536, 50197584	1
CCNC1(C(=O)N2CCN(C(=O)C3=CC(CC4=NNC(=O)C(C)=C4C)=CC=C3F)CC2)CCCC1	CHEMBL603235, 50309233	1
CCNC1=CC=CN=C1N1CCN(C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	332715	0
CCNC1=CN=C(N2CCN(C3=NC4=C(C(N)=O)C=CC=C4N3)CC2)N=C1	332710	0
CCNCC1=CC(OC)=C2C3=C(CCCN3)C(=O)NC2=C1	130157, CHEMBL3649778	1
CCNCC1=CC(OCC)=C2C3=C(CCCN3)C(=O)NC2=C1	130185, CHEMBL3649806	1
CCNCC1=CC=C(C2=NC3=CN=CC4=C3N2CCNC4=O)C=C1	CHEMBL4460350, 50535016	1
CCNCC1=CC=C(CC2=NNC(=O)C3=C2CCCC3)C=C1	213970, CHEMBL3953955	0
CCNCC1=CC=C(N2C=C3C=CC=C(C(N)=O)C3=N2)C=C1	CHEMBL1094969, 50316238	1
CCNCC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130125, CHEMBL3649748	0
CCNCC1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	213958, CHEMBL3926109	1
CCOC(=O)C1=CC(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)=CC=C1Cl	419745	1
CCOC(=O)C1=CC=C(C2=NC3=C(C(N)=O)C=CC=C3N2)C=C1	CHEMBL133855, 50093370	1
CCOC(=O)C1=CC=C(CCC2=NC3=CC=CC4=C3N2CCNC4=O)C=C1	50255794, CHEMBL481403	1
CCOC(=O)C1=CC=C(NC(=S)N/N=C/C2=CC(OC)=C(OC)C(Br)=C2Br)C=C1	CHEMBL4797518	0
CCOC(=O)C1=CC=C2NC(=O)C3=C(CCSC3)C2=C1	50486672, CHEMBL2237238	0
CCOC(=O)C1=CN=C(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)S1	419803	1
CCOC(=O)C1=CSC(N2CCN(CC3=CC=C4C5=C(CCCN5)C(=O)NC4=C3)CC2)=N1	419761	1
CCOC(=O)C1=NN=C2CN(C(=O)C3=CC(CC4=NNC(=O)C5=CC=CC=C45)=CC=C3F)CC(C)N21	438093	1
CCOC(=O)C1=NN=C2CN(C(=O)C3=CC=C(/C=C4\OC5=C(C(N)=O)C=CC=C5C4=O)C=C3)CCN21	50501846, CHEMBL4539194	1
CCOC(=O)C1CCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=CC=CC=C34)=C2)CC1	CHEMBL202313, 50177448	1
CCOC(=O)C1CCN(CC2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=CC3=O)CC1	CHEMBL4855558, 50579067	1
CCOC(=O)CC1C2=NN=C(C(F)(F)F)N2C(C)CN1C(=O)C1=CC(CC2=NNC(=O)C3=CC=CC=C23)=CC=C1F	206074	1
CCOC(=O)CCC(=O)NC1=NC(C2=CC=CC=C2)=CS1	CHEMBL452158, 50255299	0
CCOC(=O)CCC(=O)NC1=NC2=C(CCCC2)S1	CHEMBL448447	0
CCOC(=O)CCN(C)CC1=CC=C2C3=C(CCCN3)C(=O)NC2=C1	130139, CHEMBL3649762	0
CCOC(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3893791, 214546	1
CCOC(=O)NC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	50165493, CHEMBL193638	0
CCOC1=CC(CCNC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)=CC=C1OC	214337, CHEMBL3940294	1
CCOC1=CC(CN(C)C)=CC2=C1C1=C(CCCN1)C(=O)N2	130181, CHEMBL3649802	1
CCOC1=CC(CN)=CC2=C1C1=C(CCCN1)C(=O)N2	130194, CHEMBL3653088	1
CCOC1=CC(CN2CCCCC2)=CC2=C1C1=C(CCCN1)C(=O)N2	130183, CHEMBL3649804	0
CCOC1=CC(CN2CCN(C3=CC=C(C(=O)NC)C=C3C)CC2)=CC2=C1OC(C)C(=O)N2	50438232, CHEMBL2407989	1
CCOC1=CC(CN2CCN(C3=CC=C(C(=O)NC4CC4)C=C3C)CC2)=CC2=C1OC(C)C(=O)N2	50438230, CHEMBL2407970	1
CCOC1=CC(CN2CCN(C3=CC=C(F)C=C3)CC2)=CC2=C1C1=C(CCCN1)C(=O)N2	419669	1
CCOC1=CC(CN2CCOCC2)=CC2=C1C1=C(CCCN1)C(=O)N2	130182, CHEMBL3649803	0
CCOC1=CC(CNC)=CC2=C1C1=C(CCCN1)C(=O)N2	130184, CHEMBL3649805	0
CCOC1=CC=C(C(=O)C2CCN(CC(=O)NCC3=NC(=O)C4=C(CCOC4)N3)CC2)C=C1	CHEMBL3903965, 191197	0
CCOC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3937891, 214165	1
CCOC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1OCC	CHEMBL3891822, 214175	1
CCOC1=CC=C(C2=CSC(/N=C/C3=CNC4=CC=CC=C34)=N2)C(OCC)=C1	CHEMBL480452, 50255358	0
CCOC1=CC=C(CCNC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1OC	214338, CHEMBL3946791	1
CCOC1=CC=C2NC(=O)C3=C(NCCC3)C2=C1	130102, CHEMBL3649725	0
CCOC1=CC=CC=C1C(=O)NC1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214125, CHEMBL3941896	0
CCOC1=CC=CC=C1NC(=O)C1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214291, CHEMBL3921033	0
CCOC1=NC=C(C(N)=O)C2=C1NC(C1CCN(C(=O)C3=CC(CC4=NNC(=O)C5=CC=CC=C45)=CC=C3F)CC1)=N2	CHEMBL4857326, 50571285	1
CCOCCC(=O)NC1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214076, CHEMBL3944563	1
CCOCCN1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3899001, 214401	1
CCOP1(=O)CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538092	1
CCP1(=O)CCN(C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538090	1
CCS(=O)(=O)N1CCCN(C(=O)C2=CC=CC(CC3=NNC(=O)C4=CC=CC=C34)=C2)CC1	CHEMBL522885, 27537	1
