SMILE	Compound_IDs	Class
CC(=O)N1CCN(CC2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=CC3=O)CC1	CHEMBL4863798, 50579030	1
CC(=O)NC1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3904262, 214171	1
CC(=O)NC1=CC=C(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)C=C1	CHEMBL3593986	0
CC(=O)NC1=CC=C(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)C=N1	CHEMBL3593989, 50096145	1
CC(=O)NC1=CC=C(C2NC3=CC(F)=CC4=C3C(=NNC4=O)C2C2=NC=NN2C)C=C1	CHEMBL3764951, 50145144	1
CC(=O)NC1=CC=C(COC2=CC=C(C3=CC=C(C4=NC5=C(C(=O)O)C=C(C)C=C5N4)C=C3)C=C2)C=C1	CHEMBL3593806	0
CC(=O)NC1=CC=C(NC(=O)CCN2C(=O)NC(=O)C3=CC=CC=C32)C=C1	CHEMBL3105417, 50445844	0
CC(=O)NC1=CC=CC(C2=CC(C(C)CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	214233, CHEMBL3896329	0
CC(=O)NC1=CC=CC(C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	CHEMBL3920506, 214185	1
CC(=O)NC1=CC=CC(C2=CC(CCC3=NNC(=O)C4=C3CCCC4)=CC=C2F)=C1	CHEMBL3934312, 214211	0
CC(=O)NC1=CC=CC(C2=CC=C(C3=NC4=C(C(N)=O)C=CC=C4N3)C=C2)=C1	CHEMBL3593985, 50096142	0
CC(=O)NC1=CC=CC(C2=CC=CC(C(C)C3=NNC(=O)C4=C3CCCC4)=C2)=C1	214223, CHEMBL3973398	1
CC(=O)NC1=CC=CC(C2=CC=CC(C(C)CC3=NNC(=O)C4=C3CCCC4)=C2)=C1	214221, CHEMBL3962419	0
CC(=O)NC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	CHEMBL381652, 50165494	1
CC(=O)NC1=CC=CC=C1C1=CC=C(C2=NC3=C(C(N)=O)C=CC=C3N2)C=C1	CHEMBL3593984, 50096207	0
CC(=O)NC1=CC=CC=C1COC1=CC=C(C2=CC=C(C3=NC4=C(C(=O)O)C=C(C)C=C4N3)C=C2)C=C1	CHEMBL3593804	0
CC(=O)NC1=CN=C(N2CCN(C3=NC4=C(C(N)=O)C=CC=C4N3)CC2)N=C1	332711	0
CC(=O)NC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL245735, 50197586	1
CC(=O)NCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL246396, 50197607	1
CC(=O)NNC1=CC2=C3C(=C4CCCCCC4=NC3=C1)NNC2=O	224638, CHEMBL3954713	1
CC(=O)N[C@@H](CC(C)C)C(=O)NC1=CC=CC(CC2=NNC(=O)C3=C2CCCC3)=C1	214095, CHEMBL3954734	0
CC(=O)OC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	CHEMBL371244, 50165474	1
CC(=O)OC[C@H]1O[C@@H](SC2=NN=C(C3=CC4=CC=CC=C4N3)N2C2=CC=CC=C2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	CHEMBL4446682, 50515711	0
CC(C#N)(CC1=CC(Cl)=NC(Cl)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301934	1
CC(C#N)(CC1=CC=CC(C#N)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301927	1
CC(C#N)(CC1=CC=CC(C#N)=N1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301932	1
CC(C#N)(CC1=CC=CC(CN)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301942	0
CC(C#N)(CC1=CC=CC(CO)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301940	1
CC(C#N)(CC1=CC=CC(Cl)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301933	1
CC(C#N)(CC1=CC=CC(F)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301928	1
CC(C#N)(CC1=CC=CC(OC(F)(F)F)=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301935	0
CC(C#N)(CC1=CC=CC=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301923	1
CC(C#N)(CCOC1=CC=C(C#N)C=C1)C1=CC=C2C3=C(CCCC3)C(=O)NC2=C1	301945	1
CC(C)(C)C(=O)N1CC2=NC3=CC(F)=CC4=C3C2=C(C1)NNC4=O	CHEMBL3906623, 207607	1
CC(C)(C)C(=O)N1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	CHEMBL3978989, 207606	1
CC(C)(C)C(=O)N1CCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL598543, 50309375	1
CC(C)(C)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)CC1	CHEMBL3937699, 214483	1
CC(C)(C)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3903698, 214486	1
CC(C)(C)C(=O)N1CCP(=O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538050	1
CC(C)(C)C(=O)OCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL245359, 50197602	1
CC(C)(C)C1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3975133, 214170	0
CC(C)(C)C1=CC=C(C2=C3CCNC(=O)C4=C3C(=CC=C4)N2)C=C1	CHEMBL143949	1
CC(C)(C)C1=CC=C(C2=NC(=O)C3=CC(F)=CC=C3N2)C=C1	CHEMBL4586580, 50505327	0
CC(C)(C)C1=CC=C(CN2C=C(/C=C3\SC(=O)NC3=O)C3=CC=CC=C32)C=C1	CHEMBL4075239, 50249371	0
CC(C)(C)C1=CC=C(NC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	214273, CHEMBL3904319	0
CC(C)(C)C1=CC=C(S(=O)(=O)N2CCN(CC3=NC4=C5C(=CC=CC5=N3)C(=O)NN4)CC2)C=C1	CHEMBL3644605, 139676	1
CC(C)(C)C1=CC=CC(NC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)=C1	214272, CHEMBL3951368	0
CC(C)(C)C1NCCC2=C1C=C(C1=CC3=C(Cl)C=C(C(N)=O)N3N=C1)S2	CHEMBL4762579, 50549302	0
CC(C)(C)C1NCCC2=C1SC(C1=CC3=C(Cl)C=C(C(N)=O)N3N=C1)=C2	CHEMBL4740356, 50549304	0
CC(C)(C)C1NCCC2=C1SC(C1=NC3=C(C(N)=O)C=C(F)C=C3N1)=C2	CHEMBL4279065, 50464917	1
CC(C)(C)CC(=O)N1CCP(=O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538047	1
CC(C)(C)CCN1CC2=NC3=CC=CC4=C3C2=C(C1)NNC4=O	CHEMBL3963459, 207609	1
CC(C)(C)CN1CCC(NC(=O)C2=NC3=C(C(N)=O)C=C(F)C=C3N2)CC1	50248724, CHEMBL4076845	1
CC(C)(C)CN1CCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	50248776, CHEMBL4100150	1
CC(C)(C)CN1CCP(=O)(C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)CC1	538085	1
CC(C)(C)N1CCN(C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)C1=O	214264, CHEMBL3928403	0
CC(C)(C)NC(=O)NC1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214447, CHEMBL3901504	0
CC(C)(C)NCC1=CC=C(C2=NC3=CN=CC4=C3N2CCNC4=O)C=C1	CHEMBL4459573, 50535019	1
CC(C)(C)OC(=O)CC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL397399, 50197587	1
CC(C)(C)OC(=O)N1CC2(C1)CN(C(=O)C1=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C1F)C2	CHEMBL4176757, 50288725	0
CC(C)(C)OC(=O)N1CC2(CCN(C(=O)C3=CC(CC4=NNC(=O)C5=CC=CC=C45)=CC=C3F)C2)C1	50288522, CHEMBL4170937	0
CC(C)(C)OC(=O)N1CC2(CCN2C(=O)C2=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C2F)C1	CHEMBL4169952, 50288723	0
CC(C)(C)OC(=O)N1CCC(N2CCC(NC(=O)C3=NC4=C(C(N)=O)C=CC=C4N3)CC2)CC1	50248722, CHEMBL4084815	0
CC(C)(C)OC(=O)N1CCC(N2CCCC(NC(=O)C3=NC4=C(C(N)=O)C=CC=C4N3)C2)CC1	50248759, CHEMBL4091699	0
CC(C)(C)OC(=O)N1CCC(NC(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	214575, CHEMBL3916451	1
CC(C)(C)OC(=O)N1CCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)C1	50248802, CHEMBL4066329	0
CC(C)(C)OC(=O)N1CCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)CC1	50248761, CHEMBL4062214	0
CC(C)(C)OC(=O)N1CCC(NC2CCN(C(=O)C3=NC4=C(C(N)=O)C=CC=C4N3)C2)CC1	50248729, CHEMBL4096563	0
CC(C)(C)OC(=O)N1CCC(NC2CCN(C(=O)C3=NC4=C(C(N)=O)C=CC=C4N3)CC2)CC1	50248735, CHEMBL4090232	0
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(C(=O)C1=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C1F)C2	CHEMBL4175833, 50288521	0
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(C(=O)C1=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C1F)CC2	CHEMBL4177509, 50288523	0
CC(C)(C)OC(=O)N1CCC2(CC1)CCN2C(=O)C1=CC(CC2=NNC(=O)C3=CC=CC=C23)=CC=C1F	CHEMBL4168908, 50288577	0
CC(C)(C)OC(=O)N1CCC2(CC1)CN(C(=O)C1=CC(CC3=NNC(=O)C4=CC=CC=C34)=CC=C1F)C2	CHEMBL4175684, 50288734	0
CC(C)(C)OC(=O)N1CCC2(CCN(C(=O)C3=CC(CC4=NNC(=O)C5=CC=CC=C45)=CC=C3F)C2)C1	CHEMBL4159240, 50288516	0
CC(C)(C)OC(=O)N1CCC2=C(C1)N=C1C=CC=C3C(=O)NNC2=C31	CHEMBL3901232, 224640	1
CC(C)(C)OC(=O)N1CCCC(NC(=O)C2=NC3=C(C(N)=O)C=CC=C3N2)C1	50248757, CHEMBL4095862	0
CC(C)(C)OC(=O)N1CCCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)C1	CHEMBL3889865, 214496	1
CC(C)(C)OC(=O)N1CCCN(CC2=NC3=C4C(=CC=CC4=N2)C(=O)NN3)CC1	CHEMBL3644576, 139646	1
